Institute Id,Institute Name,City,State,Score_2021,Rank_2021,TLR_2021,RPC_2021,GO_2021,OI_2021,Perception_2021,Score_2020,Rank_2020,TLR_2020,RPC_2020,GO_2020,OI_2020,Perception_2020,Score_2019,Rank_2019,TLR_2019,RPC_2019,GO_2019,OI_2019,Perception_2019
IR-O-U-0456,Indian Institute of Technology Madras,Chennai,Tamil Nadu,86.76,1,85.61,92.51,86.32,63.57,97.13,85.31,1,81.86,90.67,88.26,62.78,96.16,83.88,1,84.56,83.53,87.13,66.08,94.14
IR-O-U-0220,Indian Institute of Science,Bengaluru,Karnataka,82.67,2,79.13,91.48,78.23,58.39,100,84.18,2,82.22,92.16,82.89,52.84,100,82.28,2,83.16,89.24,78.57,48.47,100
IR-O-U-0306,Indian Institute of Technology Bombay,Mumbai,Maharashtra,82.52,3,83.52,87.81,80.86,57.48,91.96,80.75,4,79.32,86.46,82.48,54.14,90.97,78.62,4,76.95,84.36,82.31,50.68,86.92
IR-O-I-1074,Indian Institute of Technology Delhi,New Delhi,Delhi,81.75,4,84.02,84.46,75.07,67.97,93.89,81.33,3,80.59,87.16,77.18,66.41,89.17,78.69,3,78.3,82.98,79.14,58.58,86.14
IR-O-I-1075,Indian Institute of Technology Kanpur,Kanpur,Uttar Pradesh,76.5,5,80.5,75.23,80.74,56.97,79.3,74.99,6,75.64,74.76,81.87,55.61,79.43,69.07,6,71.95,69.61,69.96,50.39,75.68
IR-O-U-0573,Indian Institute of Technology Kharagpur,Kharagpur,West Bengal,75.62,6,74.25,76.23,83.23,55.35,82.92,75.85,5,68.6,79.73,86.12,59.07,82.21,74.31,5,67.36,76.65,86.17,60.63,78.11
IR-O-U-0560,Indian Institute of Technology Roorkee,Roorkee,Uttarakhand,71.4,7,76.68,68.37,83.16,65.31,47.28,68.48,9,68.29,67,85.21,64.29,44.17,67.68,8,67.32,65.08,87.14,61.64,43.66
IR-O-U-0053,Indian Institute of Technology Guwahati,Guwahati,Assam,69.26,8,73.75,66.25,81.26,62.95,47.04,68.81,7,74.06,63.55,81.85,62.35,49.09,65.47,9,76.79,56.58,73.87,60.63,46.34
IR-O-U-0109,Jawaharlal Nehru University,New Delhi,Delhi,66.61,9,71.19,44.96,95.07,73.36,54.12,68.76,8,74.98,44.8,100,75.1,53.19,68.68,7,76.75,41.85,99.87,75.87,55.27
IR-O-U-0500,Banaras Hindu University,Varanasi,Uttar Pradesh,63.1,10,64.5,45,100,53.13,49.38,62.03,10,70.91,44.89,85.65,58.76,42.84,64.55,10,69.72,46.48,96.37,57.01,47.28
IR-O-U-0570,Calcutta University,Kolkata,West Bengal,61.45,11,66.2,43.92,91.72,60.98,39.68,61.01,11,59.26,48.58,91.03,61.66,42.84,60.87,12,62.26,47.1,91.54,60.14,37.39
IR-O-U-0436,Amrita Vishwa Vidyapeetham,Coimbatore,Tamil Nadu,59.87,12,64.23,54.33,71.35,65.54,34.8,60.74,13,69.65,52.11,73.66,65.83,29.04,59.22,15,73.03,43.77,70.28,70.23,31.01
IR-O-U-0108,Jamia Millia Islamia,New Delhi,Delhi,59.54,13,66.44,43.43,86.67,72.35,20.25,59.85,16,71.35,38.3,88.52,73.05,19.43,58.07,19,73.74,32.04,88.53,71.97,14.26
IR-O-U-0575,Jadavpur University,Kolkata,West Bengal,58.93,14,51.7,51.72,87.77,50.16,53.3,60.77,12,53.38,52.96,90.39,48.67,59.2,60.53,13,54.4,54.89,90.28,44.95,51.83
IR-O-U-0234,Manipal Academy of Higher Education,Manipal,Karnataka,58.91,15,67.68,48.17,76.05,65.25,24.18,59.96,14,75.44,42.62,75.36,66.21,28.5,58.5,16,77.91,38.31,69.71,66.78,30.21
IR-O-U-0013,Indian Institute of Technology Hyderabad,Hyderabad,Telangana,58.53,16,61.4,52.64,67.51,58.59,49.61,59.59,17,69.97,48.99,66.96,58.36,46.7,56.92,22,70.91,40.82,67.47,58.77,40.33
IR-O-U-0042,University of Hyderabad,Hyderabad,Telangana,57.67,17,69.59,40.74,77.44,58.72,32.13,59.92,15,71.15,42.93,81.18,54.01,40.46,61.85,11,74.81,43.78,83.64,58.77,36.71
IR-O-U-0496,Aligarh Muslim University,Aligarh,Uttar Pradesh,57.38,18,69.06,40.86,80.06,56.93,27,52.54,31,70.97,40.78,55.7,57.39,21.41,58.36,18,76.69,35.38,85.67,57.56,18.46
IR-O-U-0120,University of Delhi,Delhi,Delhi,56.03,19,42.65,54.23,82.66,59.6,44.81,58.97,18,50.18,55.4,85.21,60.37,42.06,57.59,20,47.87,53.79,87.18,55.4,41.11
IR-O-U-0323,Savitribai Phule Pune University,Pune,Maharashtra,55.83,20,62.95,42.77,86.96,50.92,16.41,58.77,19,67.66,45.48,85.36,56.22,21.41,58.4,17,69.26,44.42,86.04,54.34,16.55
IR-O-U-0490,Vellore Institute of Technology,Vellore,Tamil Nadu,55.39,21,48.43,56.83,69.94,59.38,38.8,53.89,28,48.71,54.82,67.26,58.15,35.72,51.44,32,48.7,47.63,66.55,57.02,35.31
IR-O-U-0447,Bharathiar University,Coimbatore,Tamil Nadu,55.38,22,61.79,47.45,74.17,53.21,24.6,57.32,21,67.47,46.47,75.58,52.82,27.4,57.23,21,66.93,45.04,76.53,52.11,31.2
IR-O-U-0467,National Institute of Technology Tiruchirappalli,Tiruchirappalli,Tamil Nadu,54.97,23,52.39,44.58,71.79,63.34,51.82,55.92,24,60.37,40.88,71.62,64.09,48.08,54.32,24,61.25,34.72,70.89,62.89,50.61
IR-O-U-0305,Indian Institute of Science Education & Research Pune,Pune,Maharashtra,54.47,24,67.24,45.58,59.31,58.75,28.91,55.43,25,69.95,45.05,59.67,60.47,29.58,54.48,23,70.53,42.05,57.13,60.11,32.75
IR-O-U-0439,Anna University,Chennai,Tamil Nadu,54.42,25,51.91,43.09,73.11,51.35,61.72,58.1,20,56,48.61,77.49,52.37,59.85,60.35,14,56.39,54.1,78.07,53.16,62.72
IR-O-U-0205,Indian Institute of Technology (Indian School of Mines),Dhanbad,Jharkhand,53.88,26,48.18,56.64,71.16,55.15,27,56.05,22,52.15,55.69,76.38,56.13,27.95,53.4,25,54.72,50.98,76,39.42,25.54
IR-O-U-0308,Institute of Chemical Technology,Mumbai,Maharashtra,53.76,27,50.05,55.82,75.96,46.07,22.04,51.7,34,51.99,48.02,75.33,46.08,20.1,52.62,27,54.67,48.4,72.61,51.49,20.28
IR-O-U-0701,Indian Institute of Technology (Banaras Hindu University) Varanasi,Varanasi,Uttar Pradesh,53.74,28,55.87,47.41,69.88,56.69,31.08,54.82,26,63.03,42.97,67.68,57.09,37.73,52.49,28,62.09,39.44,68.32,54.48,29.2
IR-O-U-0391,Birla Institute of Technology & Science -Pilani,Pilani,Rajasthan,53.32,29,55.81,43.13,72.05,59.5,32.81,54.13,27,62.76,40.72,72.48,60.97,24.81,50.53,39,56.68,34.14,73.06,52.26,34.41
IR-O-U-0273,Indian Institute of Technology Indore,Indore,Madhya Pradesh,53.22,30,57.51,49.25,69.71,56.59,15.91,55.94,23,69.47,47.56,69.7,58.93,10,,,,,,,
IR-O-U-0378,Indian Institute of Technology Ropar,Rupnagar,Punjab,52.89,31,72.76,32.92,62.05,63.88,23.76,50.92,39,69.21,31.54,63.27,60.45,20.1,,,,,,,
IR-O-U-0237,National Institute of Technology Karnataka,Surathkal,Karnataka,52.88,32,53.81,41.74,73.32,65.58,30.01,51.86,33,57.45,37.5,72.93,56.28,31.64,47.37,53,51.32,32.27,71.35,50.89,29.4
IR-O-U-0139,Indian Institute of Technology Gandhinagar,Gandhinagar,Gujarat,52.77,33,71.26,37.15,57.21,64.21,23.76,51.49,35,68.47,36.5,55.42,61.46,27.68,47.85,51,61.95,31.43,56.23,61.6,24.17
IR-O-U-0235,Mysore University,Mysuru,Karnataka,50.49,34,68.77,18.79,90.54,54.24,6.85,49.75,47,62.99,19.55,92.51,54.45,10.42,44.06,80,57.3,18.15,78.43,52.67,4.7
IR-O-U-0572,Indian Institute of Science Education & Research Kolkata,Mohanpur,West Bengal,50.48,35,59.67,38.82,66.26,53.53,23.34,53.49,29,68.86,38.92,64.94,54.55,27.12,50.44,40,69.99,41.21,45.09,55.69,24.86
IR-O-U-0304,Homi Bhabha National Institute,Mumbai,Maharashtra,50.42,36,68.64,36.45,65.98,50.79,6.22,53.2,30,82.4,30.44,69.83,48.72,5.06,51.95,30,83.26,25.24,71.18,47.29,4.33
IR-O-U-0363,Siksha `O` Anusandhan,Bhubaneswar,Odisha,50.34,37,63.89,29.92,71.34,65.89,13.28,50.97,38,72.43,25.73,71.13,63.78,9.15,50.31,41,72.96,21.17,69.84,61.04,20.02
IR-O-U-0078,Panjab University,Chandigarh,Chandigarh,50.31,38,48.88,40.86,71.57,53.49,37.31,50.24,44,50.08,42.83,71.27,54.9,26.27,51.25,34,51.02,44.82,72.5,52.89,27.09
IR-O-U-0356,Kalinga Institute of Industrial Technology,Bhubaneswar,Odisha,50,39,62.4,27.78,70,78.43,11.06,50.24,44,67.82,22.59,72.25,76.16,10.42,47.97,50,66.01,18.1,71.7,69.38,14.55
IR-O-U-0377,"Indian Institute of Science Education & Research, Mohali",Mohali,Punjab,49.58,40,62.43,31.86,59.58,71.65,22.04,47.19,59,68.47,29.98,43.61,72.82,16.64,45.43,66,66.43,25.27,45.39,70.98,17.38
IR-O-U-0357,National Institute of Technology Rourkela,Rourkela,Odisha,49.27,41,49.19,48.29,65.32,51.66,17.89,51.87,32,56.48,48.96,67.16,48.68,19.43,50.75,38,54.23,45.65,68.68,45.97,24.4
IR-O-U-0476,Shanmugha Arts Science Technology & Research Academy,Thanjavur,Tamil Nadu,49.15,42,58.58,38.28,66.3,57.78,10.48,49.4,48,63.86,35.91,65.46,57.76,6,45.8,63,55.55,32.38,65.16,57.13,6.86
IR-O-U-0497,Amity University,Gautam Budh Nagar,Uttar Pradesh,48.87,43,48.98,43.27,67.55,64.66,12.18,46.88,63,50.79,37.48,66.42,62.52,8.71,43.53,84,50.11,28.3,65.48,61.94,7.22
IR-O-U-0260,Kerala University,Thiruvananthapuram,Kerala,48.87,43,64.77,19.93,89.11,51.53,4.91,50.71,42,73.76,19.03,86,51.56,5.06,51.21,35,74.8,18.84,85.7,51.2,8.59
